layer,check,value,status
phase5::soil_landscapes,feature_count,88,OK
phase5::soil_landscapes,crs,EPSG:7856,OK
phase5::soil_landscapes,null_geometry,0,OK
phase5::soil_landscapes,invalid_geometry,0,OK
phase5::geology_rock_units,feature_count,126,OK
phase5::geology_rock_units,crs,EPSG:7856,OK
phase5::geology_rock_units,null_geometry,0,OK
phase5::geology_rock_units,invalid_geometry,0,OK
phase5::bushfire_prone_land,feature_count,424,OK
phase5::bushfire_prone_land,crs,EPSG:7856,OK
phase5::bushfire_prone_land,null_geometry,0,OK
phase5::bushfire_prone_land,invalid_geometry,0,OK
phase5::landscape_grid,feature_count,8210,OK
phase5::landscape_grid,crs,EPSG:7856,OK
phase5::landscape_grid,null_geometry,0,OK
phase5::landscape_grid,invalid_geometry,0,OK
phase4::study_area,feature_count,1,OK
phase4::study_area,crs,EPSG:7856,OK
phase4::study_area,null_geometry,0,OK
phase4::study_area,invalid_geometry,0,OK
phase4::robertson_nature_reserve,feature_count,1,OK
phase4::robertson_nature_reserve,crs,EPSG:7856,OK
phase4::robertson_nature_reserve,null_geometry,0,OK
phase4::robertson_nature_reserve,invalid_geometry,0,OK
phase4::habitat_patches,feature_count,702,OK
phase4::habitat_patches,crs,EPSG:7856,OK
phase4::habitat_patches,null_geometry,0,OK
phase4::habitat_patches,invalid_geometry,0,OK
phase4::core_habitat_patches,feature_count,784,OK
phase4::core_habitat_patches,crs,EPSG:7856,OK
phase4::core_habitat_patches,null_geometry,0,OK
phase4::core_habitat_patches,invalid_geometry,0,OK
phase4::rainforest_patches,feature_count,481,OK
phase4::rainforest_patches,crs,EPSG:7856,OK
phase4::rainforest_patches,null_geometry,0,OK
phase4::rainforest_patches,invalid_geometry,0,OK
phase4::roads_barriers,feature_count,2033,OK
phase4::roads_barriers,crs,EPSG:7856,OK
phase4::roads_barriers,null_geometry,0,OK
phase4::roads_barriers,invalid_geometry,0,OK
phase6::study_area,feature_count,1,OK
phase6::study_area,crs,EPSG:7856,OK
phase6::study_area,null_geometry,0,OK
phase6::study_area,invalid_geometry,0,OK
phase6::robertson_nature_reserve,feature_count,1,OK
